recorte,flow,year,coNcm,ncm,metricFOB,metricKG,metricStatistic
SC,export,2020,89039100,"Barcos a vela, mesmo com motor auxiliar",6596,252,8
SC,export,2019,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",7822923,175630,40
SC,export,2019,89039200,"Barcos a motor, exceto com motor fora-de-borda",6892011,183645,23
SC,export,2019,89031000,Barcos infláveis,6208,285,1
SC,export,2018,89039200,"Barcos a motor, exceto com motor fora-de-borda",7119626,180458,19
SC,export,2018,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",6126950,143110,27
SC,export,2018,89031000,Barcos infláveis,84000,920,8
SC,export,2017,89039200,"Barcos a motor, exceto com motor fora-de-borda",7823904,253550,56
SC,export,2017,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",6483167,146307,52
SC,export,2016,89039200,"Barcos a motor, exceto com motor fora-de-borda",12507083,308508,43
SC,export,2016,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",1459453,51608,47
SC,export,2016,89031000,Barcos infláveis,46657,508,24
SC,export,2015,89039200,"Barcos a motor, exceto com motor fora-de-borda",3378931,79271,14
SC,export,2015,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",87531,4640,4
SC,export,2015,89031000,Barcos infláveis,2037,22,1
SC,export,2014,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",228055,9170,9
SC,export,2014,89039200,"Barcos a motor, exceto com motor fora-de-borda",117000,3200,1
SC,export,2013,89039200,"Barcos a motor, exceto com motor fora-de-borda",364350,19300,7
SC,export,2013,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",5757,243,3
SC,export,2012,89039200,"Barcos a motor, exceto com motor fora-de-borda",147950,8523,6
SC,export,2011,89039200,"Barcos a motor, exceto com motor fora-de-borda",538184,30168,14
SC,export,2011,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",19657,950,1
SC,export,2010,89039200,"Barcos a motor, exceto com motor fora-de-borda",789364,45703,21
SC,export,2010,89039100,"Barcos a vela, mesmo com motor auxiliar",690353,63520,1
