flow,year,monthNumber,state,uf,metricFOB,metricKG,metricStatistic
import,2026,03,São Paulo,SP,61242,2598,
import,2026,07,Amapá,AP,60636,152,
import,2026,01,Minas Gerais,MG,47980,11417,
import,2026,06,Alagoas,AL,44383,239,
import,2026,04,Rondônia,RO,41690,673,
import,2026,06,Minas Gerais,MG,36954,7532,
import,2026,07,Rio Grande do Sul,RS,35133,417,
import,2026,04,Alagoas,AL,31465,1126,
import,2026,08,Minas Gerais,MG,28412,9693,
import,2026,02,Minas Gerais,MG,19593,3882,
import,2026,02,Rio de Janeiro,RJ,19517,12,
import,2026,07,São Paulo,SP,18235,651,
import,2026,02,São Paulo,SP,17588,1800,
import,2026,08,Pará,PA,16014,37,
import,2026,01,São Paulo,SP,14952,2655,
import,2026,03,Mato Grosso do Sul,MS,11995,306,
import,2026,01,Paraíba,PB,9480,1274,
import,2026,01,Rio de Janeiro,RJ,9321,84,
import,2026,02,Paraná,PR,6626,767,
import,2026,01,Rio Grande do Sul,RS,3162,404,
import,2026,05,Paraná,PR,2900,300,
import,2026,08,São Paulo,SP,2783,339,
import,2026,03,Rondônia,RO,2097,777,
import,2026,06,Paraná,PR,1804,25,
import,2026,02,Alagoas,AL,1464,410,
import,2026,04,Roraima,RR,1354,134,
import,2026,01,Rondônia,RO,1023,378,
import,2026,01,Alagoas,AL,1013,162,
import,2026,06,Rondônia,RO,988,366,
import,2026,02,Rondônia,RO,816,302,
import,2026,01,Paraná,PR,760,65,
import,2026,08,Alagoas,AL,750,443,
import,2026,07,Alagoas,AL,660,264,
import,2026,03,Amazonas,AM,434,300,
