cnpj,razao_social,nome_fantasia,porte,mei,data_inicio,cnae_principal,cnae_principal_nome,municipio,bairro,cep
75433375000144,ESPORTE CLUBE RECREATIVO E CULTURAL 12 DE MARCO,,Demais,,19820427,9319199,Outras atividades esportivas não especificadas anteriormente,AGUAS DE CHAPECO,INTERIOR,89883000
75433508000182,CLUBE CULTURAL E ESPORTIVO DE LINHA TIGRE,,Demais,,19820729,9319199,Outras atividades esportivas não especificadas anteriormente,MONDAI,MONDAI,89893000
73471989003534,SEST SERVICO SOCIAL DO TRANSPORTE,SEST CONCORDIA/SC - JANDYR FAVASSA - UNIDADE C N 114,Demais,,19960422,8800600,Serviços de assistência social sem alojamento,CONCORDIA,SAO JOSE,89713118
04842809000111,AARON BIKE SERVICOS DE PECAS E ACESSORIOS LTDA,ERIC BIKE,Empresa de pequeno porte,N,20020108,9529104,"Reparação de bicicletas, triciclos e outros veículos não-motorizados",FLORIANOPOLIS,CANASVIEIRAS,88054230
75185389000862,ORION OPERACOES PORTUARIAS LTDA,,Demais,,19930101,5231102,Atividades do Operador Portuário,IMBITUBA,CENTRO,88780000
03078695000112,ASSOCIACAO AMIGOS DO ESPORTE AMADOR DE JARAGUA DO SUL,AMIGOS DO ESPORTE,Demais,,19990208,9319199,Outras atividades esportivas não especificadas anteriormente,JARAGUA DO SUL,CZERNIEWICZ,89255410
78483088000137,"ASSOCIACAO CULTURAL, BENEFICENTE E ESPORTIVA ALTO MONDAIZINHO",,Demais,,19851029,9319199,Outras atividades esportivas não especificadas anteriormente,MONDAI,SEDE,89893000
78485612000109,ESPORTE CLUBE BOTAFOGO,ESPORTE CLUBE BOTAFOGO,Demais,,19890616,9319199,Outras atividades esportivas não especificadas anteriormente,MONDAI,MONDAI,89893000
78493087000173,SOCIEDADE ESPORTIVA RECREATIVA UNIAO,SERU,Demais,,19891012,9319199,Outras atividades esportivas não especificadas anteriormente,CURITIBANOS,CENTRO,89520000
78508652000129,ARABUTA FUTEBOL CLUBE,ARABUTA F C,Demais,,19890414,9319199,Outras atividades esportivas não especificadas anteriormente,CAPINZAL,CENTRO,89665000
