validar (S/N),razao_social,nome_fantasia,municipio,cnae_principal,cnae_nome,porte,desde,cnpj,observacao
,MARINE TELEMATICS LTDA,MARINE TELEMATICS,Florianopolis,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,2021,42383271000113,
,MF-5 NAUTICA & PARTICIPACOES LTDA.,MF-5 NAUTICA E PARTICIPACOES LTDA.,Florianopolis,9329899,Outras atividades de recreação e lazer não especificadas anteriormente,Demais,2025,61305535000165,
,MILITARY MARINE SOLUTIONS LTDA,,Florianopolis,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2018,31163549000120,
,NAUTICO FUTEBOL CLUBE,NAUTICO,Florianopolis,9319101,Produção e promoção de eventos esportivos,Demais,1988,80485246000130,
,NAVAL IND. LTDA,,Florianopolis,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2014,19702321000166,
,ALLAN SANTOS DE GOES LTDA,ADVENTURI BOATS,Garuva,4763602,Comércio varejista de artigos esportivos,Demais,2019,34430345000105,
,GASPARMAR REPAROS NAVAIS LTDA,MSUL DRAGAS,Gaspar,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2015,23433408000152,
,MONDINI EQUIPAMENTOS PARA MINERACAO LTDA,,Gaspar,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,1998,02742713000156,
,COLUNNA LTDA,,Governador Celso Ramos,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2019,32788634000147,
,PE NA AGUA AGENCIA E PASSEIOS LTDA,PE NA AGUA PASSEIOS E ESCOLA NAUTICA,Governador Celso Ramos,7721700,Aluguel de equipamentos recreativos e esportivos,Demais,2015,22783356000181,
,BB CONSTRUCOES DE BARCOS LTDA,BB BARCOS,Imbituba,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Demais,1983,89936850000100,
,ACOPARTS INDUSTRIA E COMERCIO LTDA,ACOPARTS INDUSTRIA E COMERCIO,Itajai,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2025,63334144000102,
,AGUAS AZUIS CONSTRUCAO NAVAL SPE LTDA,,Itajai,3011301,Construção de embarcações de grande porte,Demais,2020,36277163000163,
,ANTONIO MARCOS PEREIRA,ITAJAI NAUTICA,Itajai,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2017,27256145000104,
,AZIMUT DO BRASIL FABRICACAO DE IATES LTDA,,Itajai,3011301,Construção de embarcações de grande porte,Demais,2010,11568948000164,
,AZUL COMERCIO DE PRODUTOS NAUTICOS LTDA,MASTER MARINE,Itajai,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,2009,10819501000158,
,BEST BOAT MANUTENCAO E REPAROS NAUTICOS LTDA,BEST BOAT,Itajai,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2024,57936013000194,
,C&C EMBARCACOES DE RECREIO LTDA,GRAND OCEAN BOATS,Itajai,3012100,Construção de embarcações para esporte e lazer,Demais,2022,46143692000128,
,CENTURY YACHTS INDUSTRIA NAUTICA LTDA,CENTURY YACHTS,Itajai,3012100,Construção de embarcações para esporte e lazer,Demais,2011,13870389000178,
,DETROIT BRASIL LTDA,EDESA,Itajai,3011301,Construção de embarcações de grande porte,Demais,2002,04988669000194,
,ENAV REPARO NAVAL LTDA,,Itajai,3011301,Construção de embarcações de grande porte,Empresa de pequeno porte,2017,27545077000101,
,ESTALEIRO ASTONDOA DO BRASIL LTDA,ASTONDOA,Itajai,3011301,Construção de embarcações de grande porte,Demais,2011,14557889000117,
,ESTALEIRO FLOAT LIVING LTDA,ESTALEIRO FLOAT LIVING,Itajai,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2021,44008165000185,
,ESTALEIRO ITAJAI S/A,,Itajai,3011301,Construção de embarcações de grande porte,Demais,1994,00355092000122,
,F.MARINE INDUSTRIA E COMERCIO DE PRODUTOS NAUTICOS,,Itajai,3012100,Construção de embarcações para esporte e lazer,Demais,2001,04754028000175,
,FIBRA TEXTIL LTDA,,Itajai,4641901,Comércio atacadista de tecidos,Demais,2010,12272734000109,
,FORTROENDEHUS INTELIGENCIA NAUTICA LTDA,FORTRO NAUTICA,Itajai,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Demais,2021,43155135000139,
,HBR MARINE SOLUTIONS LTDA,HBR BOATS,Itajai,3012100,Construção de embarcações para esporte e lazer,Demais,2023,50057049000159,
,INNAUTICA INDUSTRIA NAUTICA SPE LTDA,INNAUTICA,Itajai,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2025,60004893000175,
,JATO SOARES LTDA,JATO SOARES,Itajai,3011301,Construção de embarcações de grande porte,Empresa de pequeno porte,2024,55521126000101,
,MAIOCHI CONSTRUCAO NAVAL E TERRAPLANAGEM LTDA,MAIOCHI CONSTRUCAO NAVAL E TERRAPLANAGEM,Itajai,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2000,04182174000173,
,MAQDIESEL MARINE SC LTDA,MAQDIESEL MARINE SC,Itajai,3011301,Construção de embarcações de grande porte,Empresa de pequeno porte,2026,64734936000129,
,MARINE EXPRESS COMERCIAL IMPORTADORA E EXPORTADORA LTDA,MARINE EXPRESS,Itajai,3317102,Manutenção e reparação de embarcações para esporte e lazer,Demais,1992,68904101000120,
,MASTER MARINE CHARTER LTDA,,Itajai,7721700,Aluguel de equipamentos recreativos e esportivos,Demais,2022,47114329000147,
