ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,CE,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,CE,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,6,84,60
2025,CE,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,3,76,4
2025,CE,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,28,650,64
2025,CE,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,13,1051,41
2025,CE,3011301,Construção de embarcações de grande porte,Indústria naval,1,195,1
2025,CE,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,0,0,3
2025,CE,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,263,4
2025,CE,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,12,92,32
2025,CE,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,10,31,14
2025,CE,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,5,8,10
2025,CE,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,1
2025,CE,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,5,28,9
2025,CE,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,2,6,5
2025,CE,5030101,Navegação de apoio marítimo,Portos e navegação,14,164,17
2025,CE,5030102,Navegação de apoio portuário,Portos e navegação,9,137,13
2025,CE,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,2,3,6
2025,CE,5231102,Atividades do operador portuário,Portos e navegação,18,2268,27
2025,CE,5232000,Atividades de agenciamento marítimo,Portos e navegação,27,120,46
2025,CE,5239701,Serviços de praticagem,Portos e navegação,1,31,1
2025,CE,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,1,128,3
2025,CE,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,1,2,1
2025,CE,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,44,206,136
2025,CE,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,15,109,135
2025,DF,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2025,DF,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,4
2025,DF,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2025,DF,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,2,10,2
2025,DF,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,12,161,19
2025,DF,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,4,19,8
2025,DF,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,3,48,7
