ano,municipio_codigo,municipio,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2024,420200,Balneário Camboriú,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,1,7,52
2024,420200,Balneário Camboriú,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,420200,Balneário Camboriú,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,5,50,8
2024,420200,Balneário Camboriú,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,21,1
2024,420200,Balneário Camboriú,3011301,Construção de embarcações de grande porte,Indústria naval,1,3,1
2024,420200,Balneário Camboriú,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,2
2024,420200,Balneário Camboriú,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,420200,Balneário Camboriú,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,0,0,1
2024,420200,Balneário Camboriú,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,2
2024,420200,Balneário Camboriú,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,19,17
2024,420200,Balneário Camboriú,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,3
2024,420200,Balneário Camboriú,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,7,35,13
2024,420200,Balneário Camboriú,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,2
2024,420200,Balneário Camboriú,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,1,62,3
2024,420200,Balneário Camboriú,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,1
2024,420200,Balneário Camboriú,5232000,Atividades de agenciamento marítimo,Portos e navegação,5,69,6
2024,420200,Balneário Camboriú,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,7
2024,420200,Balneário Camboriú,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,6,23
2024,420200,Balneário Camboriú,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,3,22
2024,420205,Balneário Barra do Sul,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,424
2024,420205,Balneário Barra do Sul,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,26
2024,420205,Balneário Barra do Sul,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,48
2024,420205,Balneário Barra do Sul,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,16
2024,420205,Balneário Barra do Sul,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,420205,Balneário Barra do Sul,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,1,1,2
2024,420205,Balneário Barra do Sul,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,1
2024,420205,Balneário Barra do Sul,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,0,0,1
2024,420205,Balneário Barra do Sul,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,1,3,1
2024,420207,Balneário Gaivota,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,948
2024,420207,Balneário Gaivota,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,12
2024,420207,Balneário Gaivota,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,47
2024,420207,Balneário Gaivota,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,420207,Balneário Gaivota,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420208,Bandeirante,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420210,Barra Velha,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,163
2024,420210,Barra Velha,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,20
2024,420210,Barra Velha,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,11
2024,420210,Barra Velha,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,2
2024,420210,Barra Velha,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,6,209,8
2024,420210,Barra Velha,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,1,1
2024,420210,Barra Velha,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,4,2
2024,420210,Barra Velha,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,1
2024,420210,Barra Velha,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,420210,Barra Velha,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,0,0,1
2024,420210,Barra Velha,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,1
2024,420210,Barra Velha,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,2
2024,420210,Barra Velha,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,1,2
2024,420220,Benedito Novo,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,3
2024,420220,Benedito Novo,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420230,Biguaçu,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,128
2024,420230,Biguaçu,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,1,1,2
2024,420230,Biguaçu,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,2,12,3
2024,420230,Biguaçu,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,3,68,6
2024,420230,Biguaçu,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,54,1
2024,420230,Biguaçu,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,3,4,7
2024,420230,Biguaçu,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,2
2024,420230,Biguaçu,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,2,6,4
2024,420230,Biguaçu,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,5
2024,420230,Biguaçu,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,420240,Blumenau,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,420240,Blumenau,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,2,3,2
2024,420240,Blumenau,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,420240,Blumenau,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,16,3
2024,420240,Blumenau,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,420240,Blumenau,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,2,3,2
2024,420240,Blumenau,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,1
2024,420240,Blumenau,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,2
